	80      	3.16     	28.35   
	100     	6.08     	18.65   
	125     	2.82     	23.74   
	160     	2.70     	21.69   
	200     	2.77     	19.54   
	250     	3.03     	16.17   
	315     	1.51     	20.51   
	400     	1.32     	20.02   
	500     	1.10     	18.97   
	630     	1.28     	15.74   
	800     	0.90     	17.18   
	1000    	0.85     	15.25   
	1250    	0.92     	13.11   
	1600    	0.76     	13.15   
	2000    	0.80     	11.12   
	2500    	0.72     	10.49   
	3150    	0.73     	9.49    
	4000    	0.66     	8.69    
	5000    	0.61     	8.07    
	6300    	0.57     	7.59    
	8000    	0.53     	6.83    
	10000   	0.45     	6.66  
